Season,RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
2022-2023,,Aaron Smith,CREW,MALE,8,61,0.574,2.8,231.2,38.6,0.498,0.501,-0.1
2022-2023,,Andy Nagy,CREW,MALE,4,48,0.542,1.0,231.5,37.8,0.509,0.491,0.7
2022-2023,,Ashley Moyer-Gleich,CREW,FEMALE,5,62,0.548,1.4,231.8,39.8,0.503,0.498,0.2
2022-2023,,Ben Taylor,CREW,MALE,12,46,0.674,4.8,229.0,40.5,0.492,0.509,-0.7
2022-2023,,Ben Taylor,CHIEF,MALE,12,19,0.474,-0.1,234.7,43.2,0.491,0.509,-0.8
2022-2023,,Bill Kennedy,CHIEF,MALE,28,50,0.56,0.4,231.4,40.1,0.495,0.505,-0.4
2022-2023,,Bill Kennedy,CREW,MALE,28,12,0.5,-2.3,231.4,39.3,0.513,0.488,1.0
2022-2023,,Brandon Adair,CREW,MALE,6,50,0.56,1.7,226.2,36.9,0.498,0.502,-0.2
2022-2023,,Brandon Schwab,CREW,MALE,3,42,0.619,3.3,227.8,38.5,0.5,0.499,0.0
2022-2023,,Brent Barnaky,CREW,MALE,14,47,0.66,2.6,227.6,40.0,0.526,0.476,2.0
2022-2023,,Brent Barnaky,CHIEF,MALE,14,16,0.688,6.9,227.8,37.3,0.509,0.489,0.8
2022-2023,,Brent Haskill,CREW,MALE,2,6,0.5,3.2,231.8,39.8,0.523,0.477,1.8
2022-2023,,Brett Nansel,CREW,MALE,9,53,0.604,3.4,228.9,40.7,0.495,0.504,-0.4
2022-2023,,Brett Nansel,CHIEF,MALE,9,5,0.6,4.8,242.0,38.8,0.51,0.49,0.8
2022-2023,,Brian Forte,CREW,MALE,17,37,0.703,4.9,227.8,39.9,0.511,0.488,0.9
2022-2023,,Brian Forte,CHIEF,MALE,17,27,0.407,1.4,230.9,38.7,0.491,0.509,-0.7
2022-2023,,Cheryl Flores,CREW,FEMALE,2,34,0.441,1.8,226.0,39.7,0.482,0.519,-1.5
2022-2023,,Cheryl Flores,CHIEF,MALE,2,1,1.0,12.0,256.0,37.0,0.486,0.514,-1.0
2022-2023,,CJ Washington,CREW,MALE,9,41,0.415,-3.4,227.7,41.5,0.521,0.478,1.8
2022-2023,,CJ Washington,CHIEF,MALE,9,3,1.0,18.0,234.0,40.3,0.521,0.48,1.7
2022-2023,,Courtney Kirkland,CHIEF,MALE,24,46,0.522,0.2,226.4,39.4,0.509,0.491,0.7
2022-2023,,Courtney Kirkland,CREW,MALE,24,16,0.438,1.3,223.4,39.1,0.527,0.473,2.1
2022-2023,,Curtis Blair,CHIEF,MALE,15,31,0.645,3.9,227.8,39.5,0.501,0.498,0.1
2022-2023,,Curtis Blair,CREW,MALE,15,32,0.5,2.4,231.6,40.2,0.491,0.508,-0.7
2022-2023,,Danielle Scott,CREW,MALE,0,9,0.667,4.3,235.9,40.2,0.478,0.522,-1.8
2022-2023,,Dannica Mosher,CREW,MALE,3,33,0.667,5.1,223.9,40.6,0.502,0.497,0.2
2022-2023,,David Guthrie,CHIEF,MALE,18,41,0.61,3.7,231.1,40.8,0.518,0.481,1.5
2022-2023,,David Guthrie,CREW,MALE,18,18,0.556,5.5,229.2,41.8,0.509,0.49,0.8
2022-2023,,Dedric Taylor,CREW,MALE,10,54,0.667,4.2,229.0,39.4,0.516,0.485,1.2
2022-2023,,Dedric Taylor,CHIEF,MALE,10,2,0.0,-8.5,237.5,37.0,0.459,0.541,-3.0
2022-2023,,Derek Richardson,CHIEF,MALE,28,20,0.6,3.9,230.7,40.3,0.502,0.496,0.3
2022-2023,,Derek Richardson,CREW,MALE,28,6,0.333,-4.0,218.3,40.0,0.5,0.5,0.0
2022-2023,,Derrick Collins,CHIEF,MALE,24,18,0.5,0.8,222.6,38.0,0.51,0.49,0.8
2022-2023,,Derrick Collins,CREW,MALE,24,8,0.875,3.6,231.1,39.1,0.512,0.489,0.9
2022-2023,,Ed Malloy,CHIEF,MALE,21,33,0.424,-2.2,230.7,39.2,0.482,0.516,-1.3
2022-2023,,Ed Malloy,CREW,MALE,21,26,0.577,6.0,233.6,40.2,0.503,0.496,0.3
2022-2023,,Eric Dalen,CREW,MALE,15,24,0.667,5.4,216.1,37.0,0.48,0.52,-1.5
2022-2023,,Eric Dalen,CHIEF,MALE,15,16,0.438,-2.5,226.8,39.6,0.508,0.491,0.7
2022-2023,,Eric Lewis,CHIEF,MALE,19,44,0.614,3.3,228.5,43.2,0.518,0.481,1.6
2022-2023,,Eric Lewis,CREW,MALE,19,19,0.526,-3.0,225.2,42.3,0.506,0.494,0.5
2022-2023,,Evan Scott,CREW,MALE,5,40,0.675,3.4,230.7,39.6,0.515,0.485,1.2
2022-2023,,Gediminas Petraitis,CREW,MALE,9,60,0.567,2.0,229.1,40.8,0.493,0.508,-0.6
2022-2023,,Gediminas Petraitis,CHIEF,MALE,9,4,0.25,-4.8,245.8,35.5,0.451,0.549,-3.5
2022-2023,,Intae Hwang,CREW,MALE,1,7,0.571,4.0,224.3,44.6,0.532,0.468,2.9
2022-2023,,J.T. Orr,CREW,MALE,14,45,0.556,0.4,230.0,41.9,0.506,0.493,0.6
2022-2023,,J.T. Orr,CHIEF,MALE,14,4,0.5,0.0,222.5,44.5,0.483,0.517,-1.5
2022-2023,,Jacyn Goble,CREW,MALE,7,62,0.71,4.9,231.7,40.2,0.512,0.488,0.9
2022-2023,,Jamahl Ralls,CREW,MALE,2,6,0.667,9.0,245.0,46.8,0.506,0.495,0.5
2022-2023,,James Capers,CHIEF,MALE,28,43,0.581,1.9,225.0,39.9,0.492,0.509,-0.7
2022-2023,,James Williams,CREW,MALE,14,45,0.578,3.4,229.1,37.1,0.498,0.501,-0.1
2022-2023,,James Williams,CHIEF,MALE,14,18,0.556,0.1,225.2,35.8,0.512,0.487,0.9
2022-2023,,Jason Goldenberg,CREW,MALE,7,48,0.604,5.2,235.6,41.1,0.501,0.5,0.1
2022-2023,,JB DeRosa,CHIEF,MALE,6,60,0.517,0.7,232.5,42.0,0.499,0.501,-0.1
2022-2023,,JB DeRosa,CREW,MALE,6,4,0.75,2.5,233.5,44.0,0.511,0.489,1.0
2022-2023,,Jenna Reneau,CREW,MALE,2,5,0.6,-1.4,239.8,40.8,0.52,0.48,1.6
2022-2023,,Jenna Schroeder,CREW,FEMALE,4,35,0.514,1.0,230.3,40.7,0.521,0.48,1.7
2022-2023,,John Butler,CREW,MALE,5,48,0.563,2.6,227.2,39.4,0.5,0.5,0.0
2022-2023,,John Conley,CREW,MALE,4,36,0.528,1.1,230.8,41.1,0.501,0.499,0.1
2022-2023,,John Goble,CHIEF,MALE,16,40,0.45,1.3,225.4,39.5,0.485,0.514,-1.1
2022-2023,,John Goble,CREW,MALE,16,22,0.773,5.9,229.5,38.4,0.535,0.464,2.7
