GAME_ID,TEAM_ABBREVIATION,PF
0021700002,HOU,16
0021700001,BOS,24
0021700001,CLE,25
0021700002,GSW,25
0021700013,HOU,14
0021700005,MIA,20
0021700007,MIL,22
0021700011,MIN,16
0021700004,BKN,25
0021700005,ORL,18
0021700004,IND,25
0021700006,PHI,28
0021700009,ATL,18
0021700007,BOS,27
0021700008,NOP,31
0021700009,DAL,19
0021700010,DEN,18
0021700012,PHX,22
0021700012,POR,20
0021700013,SAC,20
0021700011,SAS,18
0021700010,UTA,18
0021700008,MEM,29
0021700006,WAS,20
0021700003,DET,21
0021700003,CHA,15
0021700016,LAC,20
0021700016,LAL,15
0021700015,NYK,23
0021700014,CHI,23
0021700015,OKC,22
0021700014,TOR,19
0021700026,LAL,31
0021700021,MIL,17
0021700023,MIN,17
0021700022,BKN,17
0021700022,ORL,27
0021700018,IND,17
0021700019,PHI,30
0021700017,ATL,29
0021700019,BOS,24
0021700021,CLE,11
0021700025,NOP,19
0021700024,DAL,13
0021700025,GSW,23
0021700026,PHX,25
0021700018,POR,26
0021700024,SAC,18
0021700023,UTA,21
0021700020,WAS,18
0021700020,DET,32
0021700017,CHA,18
0021700032,HOU,24
0021700037,LAC,32
0021700029,MIA,19
0021700034,MIL,23
0021700030,NYK,21
0021700028,ORL,28
0021700029,IND,18
0021700027,PHI,26
0021700028,CLE,14
0021700031,CHI,15
0021700032,DAL,19
0021700035,DEN,19
0021700033,GSW,28
0021700037,PHX,27
0021700034,POR,22
0021700035,SAC,21
0021700031,SAS,14
0021700036,OKC,16
0021700027,TOR,29
0021700036,UTA,21
0021700033,MEM,25
0021700030,DET,25
0021700040,LAL,24
0021700039,MIN,17
0021700038,BKN,27
0021700038,ATL,25
0021700040,NOP,20
0021700039,OKC,22
0021700043,HOU,31
0021700042,MIA,19
0021700044,MIL,27
0021700041,PHI,24
0021700042,ATL,17
0021700045,DAL,20
0021700047,DEN,22
0021700045,GSW,23
0021700048,PHX,25
0021700048,SAC,25
0021700046,SAS,22
0021700046,TOR,30
0021700043,MEM,21
0021700047,WAS,24
0021700041,DET,21
0021700044,CHA,21
0021700054,LAC,16
0021700052,MIN,14
0021700050,BKN,27
0021700051,NYK,17
0021700050,ORL,23
0021700052,IND,21
0021700051,BOS,24
0021700049,CLE,14
0021700053,NOP,26
0021700049,CHI,20
0021700053,POR,22
0021700054,UTA,23
0021700057,HOU,13
0021700064,LAL,26
0021700059,MIA,25
0021700056,MIN,19
0021700058,BKN,22
0021700060,IND,23
0021700057,PHI,19
0021700058,CLE,17
0021700061,DAL,20
0021700055,DEN,23
0021700063,GSW,15
0021700062,PHX,25
0021700059,SAS,20
0021700060,OKC,27
0021700063,TOR,16
0021700062,UTA,19
0021700061,MEM,22
0021700064,WAS,19
0021700056,DET,22
0021700055,CHA,16
0021700068,LAC,19
0021700067,MIL,20
0021700065,ATL,23
0021700067,BOS,14
0021700069,NOP,24
0021700065,CHI,15
0021700066,DAL,22
0021700068,POR,26
0021700069,SAC,17
0021700066,MEM,23
0021700070,HOU,26
0021700076,LAL,22
0021700074,MIN,21
0021700073,BKN,20
0021700073,NYK,19
0021700071,ORL,24
0021700072,ATL,21
0021700072,DEN,12
0021700075,GSW,20
0021700071,SAS,15
0021700074,OKC,29
0021700076,TOR,24
0021700075,WAS,21
0021700070,CHA,14
0021700080,HOU,23
0021700084,LAC,18
0021700082,LAL,20
0021700078,MIA,23
0021700081,PHI,21
0021700078,BOS,14
0021700077,CLE,19
0021700077,NOP,20
0021700079,CHI,16
0021700081,DAL,15
0021700083,PHX,23
0021700083,POR,26
0021700079,OKC,17
0021700082,UTA,20
0021700080,MEM,20
0021700084,DET,20
0021700085,MIL,27
0021700087,BKN,18
0021700090,NYK,26
0021700088,ORL,20
0021700086,IND,20
0021700085,ATL,21
0021700090,CLE,23
0021700087,DEN,22
0021700091,GSW,14
0021700089,SAC,20
0021700086,SAS,11
0021700089,WAS,18
0021700091,DET,9
0021700088,CHA,24
0021700095,HOU,23
0021700100,LAC,20
0021700093,MIA,28
0021700093,MIN,25
0021700094,NYK,27
0021700097,ORL,19
0021700095,PHI,31
0021700092,BOS,22
0021700097,NOP,22
0021700098,DAL,16
0021700094,DEN,22
0021700100,GSW,23
0021700099,POR,15
0021700092,SAS,14
0021700099,TOR,14
0021700098,UTA,17
0021700096,MEM,22
0021700096,CHA,22
0021700104,LAL,14
0021700103,MIL,22
0021700102,BKN,22
0021700101,IND,17
0021700102,PHX,26
0021700101,SAC,18
0021700103,OKC,20
0021700104,DET,11
0021700111,HOU,20
0021700116,LAC,20
0021700110,MIA,19
0021700105,MIL,25
0021700113,MIN,21
0021700111,NYK,18
0021700112,ORL,22
0021700106,IND,23
0021700107,PHI,26
0021700107,ATL,28
0021700109,BOS,19
0021700106,CLE,19
0021700113,NOP,24
0021700110,CHI,19
0021700116,DAL,22
0021700114,DEN,20
0021700108,PHX,24
0021700115,POR,25
0021700109,SAC,18
0021700114,TOR,25
0021700115,UTA,21
0021700112,MEM,16
0021700108,WAS,28
0021700105,CHA,18
0021700118,LAL,20
0021700117,GSW,20
0021700118,POR,21
