Season,RANK,REFEREE,ROLE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2020-2021,,Dedric Taylor,CREW,8,54,0.463,-1.056,231.648,39.407,50.799,49.202,0.6
2020-2021,,Aaron Smith,CREW,6,54,0.593,0.315,223.315,37.019,50.024,49.974,0.0
2020-2021,,James Capers,CHIEF,26,52,0.519,3.731,223.5,37.481,49.153,50.846,-0.6
2020-2021,,Gediminas Petraitis,CREW,7,51,0.451,-1.196,225.706,40.333,50.414,49.587,0.3
2020-2021,,Justin Van Duyne,CREW,8,50,0.64,2.56,222.36,38.14,51.547,48.453,1.2
2020-2021,,Mitchell Ervin,CREW,7,49,0.551,1.143,222.898,40.204,49.492,50.508,-0.4
2020-2021,,Tony Brothers,CHIEF,27,47,0.489,-1.511,220.489,39.511,51.427,48.573,1.1
2020-2021,,Karl Lane,CREW,11,47,0.638,2.277,224.064,38.723,49.726,50.275,-0.2
2020-2021,,JB DeRosa,CHIEF,4,47,0.574,1.894,228.574,39.638,49.598,50.403,-0.3
2020-2021,,Rodney Mott,CHIEF,26,46,0.543,2.565,225.087,39.261,48.394,51.606,-1.3
2020-2021,,Scott Twardoski,CREW,12,45,0.578,1.889,219.578,40.133,51.163,48.838,0.9
2020-2021,,Natalie Sago,CREW,3,45,0.556,2.644,223.444,38.8,50.458,49.542,0.4
2020-2021,,Marc Davis,CHIEF,23,46,0.652,1.087,220.391,34.5,50.536,49.464,0.4
2020-2021,,Ashley Moyer-Gleich,CREW,3,45,0.489,1.156,224.222,38.356,48.609,51.39,-1.1
2020-2021,,Marat Kogut,CREW,12,46,0.435,-3.435,224.087,40.522,52.467,47.532,2.0
2020-2021,,Jacyn Goble,CREW,5,45,0.556,1.644,224.8,40.2,50.857,49.143,0.7
2020-2021,,Eric Dalen,CREW,13,45,0.556,1.667,222.289,37.822,50.529,49.472,0.4
2020-2021,,Ken Mauer,CHIEF,33,44,0.614,1.295,221.341,38.227,51.071,48.93,0.8
2020-2021,,Jonathan Sterling,CREW,4,44,0.659,3.341,223.614,39.318,51.677,48.324,1.3
2020-2021,,Nate Green,CREW,3,44,0.545,-0.045,223.545,36.659,50.279,49.721,0.2
2020-2021,,Brandon Adair,CREW,4,43,0.488,-3.442,221.721,37.163,50.313,49.687,0.2
2020-2021,,Sean Corbin,CHIEF,28,43,0.558,0.442,228.023,37.953,50.184,49.817,0.1
2020-2021,,Nick Buchert,CREW,12,42,0.548,1.929,219.167,37.762,49.306,50.693,-0.5
2020-2021,,Tyler Ford,CREW,7,42,0.5,1.619,225.238,39.595,51.594,48.407,1.3
2020-2021,,Mousa Dagher,CREW,3,42,0.405,-2.238,224.667,37.667,50.379,49.62,0.3
2020-2021,,John Butler,CREW,3,39,0.641,4.333,225.051,39.385,50.325,49.674,0.3
2020-2021,,Brent Barnaky,CREW,12,39,0.436,-3.128,222.051,38.615,51.196,48.805,0.9
2020-2021,,Ray Acosta,CREW,4,40,0.625,3.975,219.825,37.475,49.3,50.7,-0.5
2020-2021,,Phenizee Ransom,CREW,5,39,0.59,1.051,225.718,38.846,49.967,50.033,0.0
2020-2021,,Josh Tiven,CREW,12,38,0.5,-1.026,223.026,37.342,51.374,48.626,1.0
2020-2021,,Ben Taylor,CREW,10,39,0.564,1.513,222.231,39.667,49.385,50.614,-0.5
