Season,RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Ag.Rd Tm) - (Ag. Hm Tm),Unnamed: 13
2024-2025,,Ray Acosta,CREW,MALE,8,65,0.538,1.6,227.0,36.4,0.508,0.491,0.6,
2024-2025,,Natalie Sago,CREW,FEMALE,7,64,0.516,0.5,224.3,36.6,0.497,0.502,-0.2,
2024-2025,,Marc Davis,CHIEF,MALE,27,56,0.482,-1.9,228.4,36.2,0.482,0.518,-1.3,
2024-2025,,Jacyn Goble,CREW,MALE,9,65,0.508,0.9,227.5,35.2,0.5,0.5,0.0,
2024-2025,,Gediminas Petraitis,CREW,MALE,11,60,0.55,3.0,228.7,38.5,0.493,0.508,-0.6,
2024-2025,,Andy Nagy,CREW,MALE,6,66,0.485,-0.5,228.1,39.9,0.488,0.513,-1.0,
2024-2025,,Sean Corbin,CHIEF,MALE,32,58,0.603,3.5,226.3,37.0,0.507,0.494,0.5,
2024-2025,,Jason Goldenberg,CREW,MALE,9,57,0.614,2.9,226.5,37.4,0.503,0.498,0.2,
2024-2025,,John Butler,CREW,MALE,7,60,0.533,3.0,222.8,34.9,0.515,0.485,1.1,
2024-2025,,Phenizee Ransom,CREW,MALE,9,65,0.462,-2.5,229.7,39.1,0.512,0.488,1.0,
2024-2025,,CJ Washington,CREW,MALE,11,55,0.455,-0.4,231.3,38.9,0.509,0.491,0.7,
2024-2025,,Jenna Schroeder,CREW,FEMALE,6,56,0.589,2.5,225.7,36.5,0.505,0.494,0.4,
2024-2025,,Tony Brothers,CHIEF,MALE,31,54,0.574,2.1,228.5,39.0,0.495,0.505,-0.4,
2024-2025,,Mitchell Ervin,CREW,MALE,11,54,0.63,6.0,231.0,36.7,0.502,0.499,0.1,
2024-2025,,Mousa Dagher,CREW,MALE,7,57,0.491,-0.6,225.2,37.6,0.498,0.502,-0.2,
2024-2025,,Scott Foster,CHIEF,MALE,31,45,0.489,-0.9,229.4,37.7,0.512,0.489,0.9,
2024-2025,,Justin Van Duyne,CREW,MALE,12,61,0.59,3.0,226.0,35.8,0.498,0.503,-0.2,
2024-2025,,Danielle Scott,CREW,FEMALE,0,48,0.542,-0.6,223.5,37.1,0.503,0.498,0.2,
2024-2025,,Scott Twardoski,CREW,MALE,16,48,0.5,0.7,230.0,38.2,0.5,0.5,0.0,
2024-2025,,Courtney Kirkland,CHIEF,MALE,26,46,0.543,-0.8,227.2,39.1,0.51,0.49,0.8,
2024-2025,,Evan Scott,CREW,MALE,7,57,0.474,0.6,226.2,36.2,0.496,0.505,-0.3,
2024-2025,,Simone Jelks,CREW,FEMALE,6,48,0.479,1.9,234.5,36.9,0.513,0.487,0.9,
2024-2025,,Brent Barnaky,CREW,MALE,16,44,0.455,-1.9,226.5,35.0,0.494,0.506,-0.4,
2024-2025,,Mark Lindsay,CHIEF,MALE,18,43,0.488,2.7,227.3,38.4,0.491,0.511,-0.8,
2024-2025,,Zach Zarba,CHIEF,MALE,22,48,0.667,3.5,227.2,34.4,0.508,0.491,0.6,
2024-2025,,Nick Buchert,CREW,MALE,16,44,0.591,3.7,223.4,38.7,0.496,0.505,-0.4,
2024-2025,,Tyler Ford,CREW,MALE,11,46,0.478,-1.0,234.0,39.5,0.493,0.506,-0.5,
2024-2025,,Brian Forte,CHIEF,MALE,19,40,0.65,6.0,225.3,34.1,0.491,0.508,-0.6,
2024-2025,,Derrick Collins,CHIEF,MALE,26,36,0.583,0.4,226.6,37.2,0.508,0.491,0.6,
2024-2025,,Tre Maddox,CREW,MALE,15,42,0.452,-0.6,228.1,39.4,0.494,0.506,-0.5,
2024-2025,,Kevin Cutler,CREW,MALE,16,41,0.537,2.1,226.8,35.3,0.52,0.48,1.4,
2024-2025,,Aaron Smith,CREW,MALE,10,21,0.524,1.2,230.4,38.2,0.494,0.506,-0.5,
2024-2025,,Nate Green,CREW,MALE,7,54,0.704,4.8,230.5,37.3,0.501,0.499,0.1,
2024-2025,,Brandon Schwab,CREW,MALE,5,47,0.574,-0.2,223.4,35.7,0.511,0.488,0.8,
2024-2025,,Sha'Rae Mitchell,CREW,FEMALE,4,42,0.714,7.1,229.0,38.3,0.495,0.505,-0.4,
2024-2025,,Matt Kallio,CREW,MALE,4,41,0.561,3.8,231.4,37.8,0.503,0.497,0.2,
2024-2025,,Che Flores,CREW,FEMALE,4,30,0.5,0.3,227.4,36.5,0.507,0.494,0.5,
2024-2025,,Ben Taylor,CREW,MALE,14,46,0.609,0.9,225.5,37.5,0.509,0.491,0.7,
2024-2025,,John Goble,CHIEF,MALE,18,38,0.579,2.4,226.8,39.1,0.503,0.497,0.2,
2024-2025,,Brandon Adair,CREW,MALE,8,42,0.429,-3.6,219.3,35.3,0.495,0.505,-0.3,
2024-2025,,Jonathan Sterling,CREW,MALE,8,48,0.563,0.1,225.1,38.1,0.51,0.491,0.7,
