CrewID,HomeTeam,AwayTeam,HomeAway,isPlayoff,TotalFouls
13,8,7,home,1,42
10,23,19,home,0,51
7,17,1,home,1,40
2,25,16,home,0,49
1,16,23,home,1,30
4,8,12,home,0,28
12,8,27,home,0,40
4,29,19,home,0,41
5,0,3,home,0,35
1,27,15,home,0,45
2,11,7,home,0,49
4,10,3,home,0,43
6,7,22,home,0,47
14,22,8,home,1,47
10,6,21,home,0,36
4,0,22,home,0,27
2,17,2,home,1,36
9,5,14,home,0,30
2,17,23,home,0,42
2,18,17,home,1,53
7,23,1,home,0,38
1,4,17,home,0,30
8,15,25,home,1,40
6,9,3,home,0,39
10,21,28,home,1,55
11,7,1,home,0,49
6,24,28,home,0,41
4,27,7,home,0,27
4,13,29,home,0,43
14,14,9,home,0,47
13,2,22,home,0,53
11,0,3,home,0,37
5,17,21,home,0,30
13,9,29,home,0,38
2,6,8,home,0,33
1,27,20,home,0,32
0,21,2,home,1,29
11,2,11,home,0,43
4,28,15,home,0,42
4,21,4,home,0,43
6,14,19,home,1,33
11,7,23,home,0,47
13,26,22,home,0,43
9,3,19,home,0,41
4,7,29,home,0,27
11,14,17,home,1,49
13,4,27,home,0,40
13,13,3,home,1,34
12,1,12,home,0,42
8,29,15,home,0,58
7,5,26,home,0,42
3,8,1,home,0,47
1,25,3,home,0,44
0,22,4,home,0,40
12,13,23,home,0,35
5,13,14,home,0,32
7,10,22,home,0,39
4,23,28,home,0,31
6,16,28,home,0,48
12,22,18,home,0,41
8,20,15,home,1,53
12,18,21,home,1,48
14,28,5,home,0,58
12,21,17,home,1,39
1,16,0,home,0,33
8,27,23,home,0,38
12,3,23,home,1,42
1,27,23,home,0,29
12,22,19,home,0,37
4,28,4,home,0,32
1,21,5,home,0,41
8,4,11,home,0,34
13,19,3,home,0,57
1,2,13,home,0,31
4,13,0,home,0,36
4,11,29,home,0,30
0,3,19,home,0,51
14,20,26,home,1,41
12,23,24,home,0,44
2,0,4,home,0,48
0,8,25,home,1,48
12,25,13,home,0,36
0,16,22,home,0,46
12,22,1,home,0,42
2,2,18,home,1,45
6,5,11,home,0,49
1,26,17,home,1,47
6,17,16,home,0,51
10,13,15,home,0,55
14,4,28,home,0,43
4,12,19,home,0,34
14,17,18,home,1,35
4,4,6,home,0,32
8,19,17,home,0,47
9,5,12,home,0,35
12,22,16,home,0,38
13,8,23,home,0,51
0,3,1,home,0,33
1,16,10,home,0,31
13,0,13,home,0,43
12,7,18,home,1,38
1,29,13,home,0,41
11,22,11,home,0,45
10,4,12,home,0,48
12,24,29,home,1,41
4,2,25,home,0,31
11,9,5,home,0,27
2,8,5,home,0,44
7,8,7,home,0,46
6,20,23,home,1,38
11,26,10,home,0,45
10,25,11,home,0,52
7,11,10,home,0,41
0,11,29,home,0,38
13,9,5,home,1,54
6,9,4,home,1,34
8,15,19,home,0,54
14,22,19,home,0,51
13,15,21,home,0,57
6,29,3,home,0,50
14,19,10,home,1,40
9,2,6,home,0,20
8,27,20,home,0,47
5,1,27,home,0,42
3,28,15,home,0,67
3,7,12,home,0,61
12,21,17,home,0,35
12,5,20,home,0,49
1,16,29,home,0,34
1,17,5,home,0,36
14,14,27,home,0,34
1,2,10,home,1,30
3,26,10,home,0,48
5,26,11,home,0,48
3,29,22,home,0,46
12,7,8,home,0,54
4,1,16,home,0,38
12,14,28,home,0,50
14,5,16,home,1,39
2,1,28,home,1,28
14,17,1,home,0,43
0,1,25,home,0,33
1,13,6,home,0,34
2,0,8,home,0,41
1,12,16,home,0,32
11,17,7,home,0,52
11,9,7,home,1,45
13,5,4,home,1,24
10,18,14,home,0,46
3,14,0,home,0,47
13,23,29,home,0,56
12,29,18,home,0,37
2,9,16,home,0,36
11,19,9,home,1,48
4,22,24,home,0,34
4,23,4,home,0,24
1,29,7,home,1,30
0,2,26,home,0,44
10,1,13,home,0,52
8,5,0,home,0,33
2,16,15,home,0,57
5,8,22,home,0,31
14,0,1,home,0,40
11,23,26,home,0,48
5,28,7,home,0,34
2,26,22,home,0,42
1,22,19,home,0,37
10,23,27,home,0,47
0,6,12,home,1,43
11,18,11,home,0,46
5,12,0,home,0,33
9,10,11,home,0,30
4,20,1,home,0,32
5,14,22,home,0,30
14,5,14,home,0,39
7,0,14,home,0,41
13,3,7,home,0,42
3,28,9,home,0,35
11,18,12,home,0,38
8,3,25,home,0,52
12,11,25,home,0,52
6,18,28,home,1,47
5,7,5,home,0,37
12,5,7,home,0,42
